Longitude,Latitude,Shortitude,Deltitude,Pi,Murphy,Smell_Level,Feng_Shui_Quality,Air_Apple,Air_Burn,Air_Copper,Air_Mint,Sound_Silence,Sound_Humming,Sound_Skittering,Sound_Squelching,Sound_BuzzingPerformance
123.992,-24.25,-69.918,-42.284,3.1366,5.92,1,1,0,0,0,1,0,1,1,0,0,0.0161
36.685,58.149,-25.797,38.86,3.1458,4.83,1,1,0,0,0,1,1,0,0,0,0,0.4459
79.094,42.601,-31.9,-51.332,3.1442,5.25,0,1,0,1,0,0,0,0,1,0,0,0.4429
-71.479,48.491,35.11,-8.96,3.135,5.89,1,2,1,0,0,0,0,0,1,0,0,0.08230000000000001
64.341,59.544,13.15,-15.239,3.162,3.97,1,1,0,0,0,1,1,0,0,0,0,0.5640999999999999
150.099,22.222,46.602,-38.144,3.1467,1.88,0,0,0,0,0,1,0,0,1,0,0,0.4473
-163.716,33.798,72.61,32.179,3.1684,3.64,1,1,1,0,0,0,0,0,0,0,1,0.14880000000000002
64.565,35.269,19.609,-52.812,3.1269,5.43,1,1,0,0,0,1,0,0,0,1,1,0.0545
25.117,27.51,8.613,22.496,3.1361,3.41,0,1,0,0,0,1,0,1,0,0,0,0.1155
-51.425,-19.496,57.634,39.574,3.1267,5.68,1,1,1,0,0,0,0,0,0,0,1,0.0495
77.623,-43.166,20.055,83.392,3.137,5.23,1,1,0,0,1,0,0,0,0,0,1,0.21600000000000003
75.242,56.686,50.386,-40.161,3.1682,4.87,1,0,0,0,0,0,0,0,0,0,1,0.1191
47.912,64.086,-5.384,-10.614,3.1329,3.65,1,1,1,0,0,0,0,0,0,1,0,0.2079
67.874,-55.463,-18.427,31.109,3.1496,1.67,1,0,0,0,0,0,0,0,0,0,1,0.2732
65.159,-34.568,11.751,-18.93,3.1172,2.03,1,1,0,0,0,1,0,0,0,0,1,0.25620000000000004
100.59,-70.782,-56.824,44.604,3.1421,5.01,1,1,1,0,0,0,1,0,0,0,0,0.2736
21.899,-38.408,-19.29,60.06,3.1409,5.85,1,0,0,0,0,1,1,0,0,0,0,0.1291
-149.519,24.7,43.334,-42.863,3.1642,1,1,1,0,0,0,0,0,0,1,0,0,0.17980000000000002
115.913,18.499,-14.858,24.558,3.1299,2.79,0,1,0,0,0,0,1,0,0,0,0,0.25129999999999997
-142.291,-32.683,-58.033,-30.567,3.1598,3.53,1,1,0,0,0,0,1,0,0,0,0,0.1613
-65.427,46.742,17.005,-19.194,3.1432,4.31,1,0,1,0,0,0,0,1,1,0,0,0.061200000000000004
132.73,-39.434,37.218,33.798,3.148,4.26,1,1,0,0,0,1,1,0,0,0,0,0.5254
56.514,86.434,-47.837,-46.139,3.1395,4.71,1,1,0,0,0,1,0,0,1,0,0,0.4272
-129.274,15.87,28.768,-21.207,3.1268,3.78,1,1,1,0,0,0,0,1,0,0,1,0.0315
-55.2,-43.408,61.276,-31.989,3.1724,4.09,1,1,1,0,0,0,0,0,0,0,1,0.2206
